User,Card,Year,Month,Day,Time,Amount,Use Chip,Merchant Name,Merchant City,Merchant State,Zip,MCC,Errors?
1206,0,2019,9,5,18:51,$61.99,Chip Transaction,-1.6423E+18,Rome,Italy,,5912,
1996,3,2019,6,22,19:16,$4.30,Chip Transaction,3.18952E+18,Rome,Italy,,5311,
0,3,2019,2,19,06:25,$117.41,Swipe Transaction,-7.27612E+17,Monterey Park,CA,91754,5411,
1364,2,2019,5,11,14:46,$44.82,Chip Transaction,-7.27612E+17,Rome,Italy,,5411,
940,2,2019,10,12,15:57,$0.31,Chip Transaction,2.91975E+18,Rome,Italy,,5932,
1099,3,2019,6,18,14:14,$7.24,Chip Transaction,-2.45178E+17,Rome,Italy,,5311,
2,0,2019,10,13,07:54,$9.74,Chip Transaction,-6.03533E+18,Alhambra,CA,91801,5812,
0,2,2019,2,11,06:38,$44.38,Chip Transaction,4.06065E+18,La Verne,CA,91750,5411,
2,0,2019,1,30,13:02,$10.41,Chip Transaction,-3.89612E+17,West Covina,CA,91792,7230,
1725,0,2019,8,10,15:02,$6.08,Chip Transaction,3.18952E+18,Rome,Italy,,5311,
365,2,2019,5,9,14:48,$130.25,Chip Transaction,6.0514E+18,Rome,Italy,,5310,"Bad PIN,"
1298,2,2019,9,3,15:44,$367.00,Swipe Transaction,-7.80705E+18,Rome,Italy,,3684,
1505,1,2019,9,7,14:27,$0.58,Chip Transaction,4.57388E+18,Rome,Italy,,5045,
1620,3,2019,8,27,13:51,$16.63,Chip Transaction,3.18952E+18,Rome,Italy,,5311,
1558,2,2019,5,11,17:21,$78.79,Chip Transaction,3.41453E+18,Rome,Italy,,5651,
0,3,2019,7,30,20:08,$103.19,Swipe Transaction,-4.50054E+18,La Verne,CA,91750,5814,
643,0,2019,4,5,11:56,$79.65,Chip Transaction,6.0514E+18,Rome,Italy,,5310,
0,3,2019,5,10,06:06,$134.57,Swipe Transaction,5.81722E+18,La Verne,CA,91750,5912,
0,2,2020,2,27,14:55,$-150.00,Chip Transaction,1.27047E+18,Waianae,HI,96792,3730,
1206,0,2019,9,16,15:20,$32.20,Chip Transaction,4.8349E+17,Rome,Italy,,3504,
2,0,2019,8,17,04:24,$23.07,Swipe Transaction,-1.64421E+18,West Covina,CA,91792,5813,
0,3,2020,1,24,06:57,$50.60,Swipe Transaction,5.81722E+18,La Verne,CA,91750,5912,
1,2,2019,9,11,13:58,$94.00,Chip Transaction,-6.47164E+18,Edna,TX,77957,7538,
478,0,2019,10,27,14:54,$2.55,Chip Transaction,-1.12121E+17,Rome,Italy,,3509,
1366,1,2019,5,21,19:59,$294.00,Chip Transaction,4.8349E+17,Rome,Italy,,3504,
2,0,2019,8,9,11:18,$9.70,Chip Transaction,4.72291E+18,Alhambra,CA,91801,5411,
1478,3,2019,6,4,10:34,$54.38,Chip Transaction,7.48862E+18,Rome,Italy,,5651,
1895,0,2019,2,2,14:52,$63.34,Chip Transaction,7.06958E+18,Rome,Italy,,5812,
0,0,2019,3,4,09:40,$61.21,Chip Transaction,-3.34594E+18,La Verne,CA,91750,7538,
0,2,2019,6,4,06:08,$71.98,Chip Transaction,-3.45515E+16,La Verne,CA,91750,5912,
2,0,2020,1,1,04:35,$53.08,Online Transaction,-6.45844E+18, ONLINE,,,4784,
2,0,2019,7,24,04:39,$42.69,Online Transaction,-6.45844E+18, ONLINE,,,4784,
0,2,2019,1,19,18:28,$15.32,Online Transaction,-7.42109E+18, ONLINE,,,5311,
2,0,2019,12,4,14:42,$46.05,Online Transaction,-6.45844E+18, ONLINE,,,4784,
1717,4,2019,8,1,17:11,$60.94,Swipe Transaction,6.99836E+18,Rome,Italy,,5411,
1581,1,2019,6,15,14:37,$19.04,Chip Transaction,2.02755E+18,Rome,Italy,,5541,
